listing_id,alert_rank,brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,condition,price,price_median,expected_price_low,expected_price_high,price_deviation_percentage,price_anomaly_direction,price_alert_reason,price_group_count,price_reference_quality,duplicate_record_count,duplicate_record_flag,review_priority,review_label,review_reason,review_confidence,review_notes
listing_01515,1,MAZDA,DEMIO,2001,1300.0,AUTOMATIC,PETROL,264000.0,WELIMADA,2025-01-18,USED,27.5,9.75,9.75,9.75,182.05128205128204,above_expected_range,above_expected_range; deviation_from_group_median=182.1%,6,medium,1,False,medium,confirmed_anomaly,Price is 182.1% above the comparable-group median,medium,"Price 27.5 vs median 9.75 (+182.1%), reference group n=6 (medium quality)."
listing_08461,2,TOYOTA,PASSO,2007,1000.0,AUTOMATIC,PETROL,198000.0,KATUNAYAKE,2024-12-30,USED,95.8125,48.0,45.825,49.0,99.609375,above_expected_range,above_expected_range; deviation_from_group_median=99.6%,23,high,1,False,medium,confirmed_anomaly,Price is 99.6% above the comparable-group median,high,"Price 95.8125 vs median 48.0 (+99.6%), reference group n=23 (high quality)."
listing_02194,3,MITSUBISHI,LANCER BOX,1983,1400.0,MANUAL,PETROL,462000.0,MINUWANGODA,2025-01-15,USED,17.14910714285714,8.625,7.0625,10.5625,98.8302277432712,above_expected_range,above_expected_range; deviation_from_group_median=98.8%,12,high,2,True,medium,confirmed_anomaly,Price is 98.8% above the comparable-group median,high,"Price 17.14910714285714 vs median 8.625 (+98.8%), reference group n=12 (high quality). This listing value repeats across 2 records; repeats were retained and not treated as separate independent evidence."
listing_02179,4,MITSUBISHI,LANCER BOX,1983,1400.0,MANUAL,PETROL,462000.0,RATNAPURA,2025-02-04,USED,17.14910714285714,8.625,7.0625,10.5625,98.8302277432712,above_expected_range,above_expected_range; deviation_from_group_median=98.8%,12,high,2,True,medium,confirmed_anomaly,Price is 98.8% above the comparable-group median,high,"Price 17.14910714285714 vs median 8.625 (+98.8%), reference group n=12 (high quality). This listing value repeats across 2 records; repeats were retained and not treated as separate independent evidence."
listing_02227,5,MITSUBISHI,LANCER BOX,1980,1400.0,MANUAL,PETROL,495000.0,MIRIGAMA,2024-12-13,USED,17.14910714285714,9.1,7.737500000000001,10.0,88.45172684458397,above_expected_range,above_expected_range; deviation_from_group_median=88.5%,12,high,1,False,medium,confirmed_anomaly,Price is 88.5% above the comparable-group median,high,"Price 17.14910714285714 vs median 9.1 (+88.5%), reference group n=12 (high quality)."
listing_01508,6,MAZDA,DEMIO,2007,1000.0,AUTOMATIC,PETROL,198000.0,GAMPAHA,2025-02-03,USED,9.95,49.0,47.8375,52.5625,-79.69387755102039,below_expected_range,below_expected_range; deviation_from_group_median=-79.7%,8,medium,1,False,medium,confirmed_anomaly,Price is 79.7% below the comparable-group median,medium,"Price 9.95 vs median 49.0 (-79.7%), reference group n=8 (medium quality)."
listing_08468,7,TOYOTA,PASSO,2017,1000.0,AUTOMATIC,PETROL,88000.0,GAMPAHA,2024-12-13,USED,18.0,74.5,70.5,77.9,-75.83892617449665,below_expected_range,below_expected_range; deviation_from_group_median=-75.8%,5,medium,1,False,medium,confirmed_anomaly,Price is 75.8% below the comparable-group median,medium,"Price 18.0 vs median 74.5 (-75.8%), reference group n=5 (medium quality)."
listing_07632,8,TOYOTA,CARINA,1985,1450.0,MANUAL,PETROL,440000.0,MAWANELLA,2025-01-18,USED,18.0,10.25,9.5,11.3125,75.60975609756098,above_expected_range,above_expected_range; deviation_from_group_median=75.6%,5,medium,1,False,medium,confirmed_anomaly,Price is 75.6% above the comparable-group median,medium,"Price 18.0 vs median 10.25 (+75.6%), reference group n=5 (medium quality)."
listing_02182,9,MITSUBISHI,LANCER BOX,1982,1400.0,MANUAL,PETROL,473000.0,RATNAPURA,2025-02-03,USED,17.14910714285714,9.925,9.4125,10.610714285714288,72.78697373155808,above_expected_range,above_expected_range; deviation_from_group_median=72.8%,8,medium,1,False,medium,confirmed_anomaly,Price is 72.8% above the comparable-group median,medium,"Price 17.14910714285714 vs median 9.925 (+72.8%), reference group n=8 (medium quality)."
listing_08431,10,TOYOTA,PASSO,2007,1339.0,AUTOMATIC,PETROL,198000.0,GAMPAHA,2025-01-31,USED,13.75,48.0,45.825,49.0,-71.35416666666666,below_expected_range,below_expected_range; deviation_from_group_median=-71.4%,23,high,2,True,medium,confirmed_anomaly,Price is 71.4% below the comparable-group median,high,"Price 13.75 vs median 48.0 (-71.4%), reference group n=23 (high quality). This listing value repeats across 2 records; repeats were retained and not treated as separate independent evidence."
