listing_id,alert_rank,brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,condition,price,price_median,expected_price_low,expected_price_high,price_deviation_percentage,price_anomaly_direction,price_alert_reason,price_group_count,price_reference_quality,duplicate_record_count,duplicate_record_flag,review_priority
listing_01515,1,MAZDA,DEMIO,2001,1300.0,AUTOMATIC,PETROL,264000.0,WELIMADA,2025-01-18,USED,27.5,9.75,9.75,9.75,182.05128205128204,above_expected_range,above_expected_range; deviation_from_group_median=182.1%,6,medium,1,False,medium
listing_08461,2,TOYOTA,PASSO,2007,1000.0,AUTOMATIC,PETROL,198000.0,KATUNAYAKE,2024-12-30,USED,95.8125,48.0,45.825,49.0,99.609375,above_expected_range,above_expected_range; deviation_from_group_median=99.6%,23,high,1,False,medium
listing_02194,3,MITSUBISHI,LANCER BOX,1983,1400.0,MANUAL,PETROL,462000.0,MINUWANGODA,2025-01-15,USED,17.14910714285714,8.625,7.0625,10.5625,98.8302277432712,above_expected_range,above_expected_range; deviation_from_group_median=98.8%,12,high,2,True,medium
listing_02179,4,MITSUBISHI,LANCER BOX,1983,1400.0,MANUAL,PETROL,462000.0,RATNAPURA,2025-02-04,USED,17.14910714285714,8.625,7.0625,10.5625,98.8302277432712,above_expected_range,above_expected_range; deviation_from_group_median=98.8%,12,high,2,True,medium
listing_02227,5,MITSUBISHI,LANCER BOX,1980,1400.0,MANUAL,PETROL,495000.0,MIRIGAMA,2024-12-13,USED,17.14910714285714,9.1,7.737500000000001,10.0,88.45172684458397,above_expected_range,above_expected_range; deviation_from_group_median=88.5%,12,high,1,False,medium
listing_01508,6,MAZDA,DEMIO,2007,1000.0,AUTOMATIC,PETROL,198000.0,GAMPAHA,2025-02-03,USED,9.95,49.0,47.8375,52.5625,-79.69387755102039,below_expected_range,below_expected_range; deviation_from_group_median=-79.7%,8,medium,1,False,medium
listing_08468,7,TOYOTA,PASSO,2017,1000.0,AUTOMATIC,PETROL,88000.0,GAMPAHA,2024-12-13,USED,18.0,74.5,70.5,77.9,-75.83892617449665,below_expected_range,below_expected_range; deviation_from_group_median=-75.8%,5,medium,1,False,medium
listing_07632,8,TOYOTA,CARINA,1985,1450.0,MANUAL,PETROL,440000.0,MAWANELLA,2025-01-18,USED,18.0,10.25,9.5,11.3125,75.60975609756098,above_expected_range,above_expected_range; deviation_from_group_median=75.6%,5,medium,1,False,medium
listing_02182,9,MITSUBISHI,LANCER BOX,1982,1400.0,MANUAL,PETROL,473000.0,RATNAPURA,2025-02-03,USED,17.14910714285714,9.925,9.4125,10.610714285714288,72.78697373155808,above_expected_range,above_expected_range; deviation_from_group_median=72.8%,8,medium,1,False,medium
listing_08431,10,TOYOTA,PASSO,2007,1339.0,AUTOMATIC,PETROL,198000.0,GAMPAHA,2025-01-31,USED,13.75,48.0,45.825,49.0,-71.35416666666666,below_expected_range,below_expected_range; deviation_from_group_median=-71.4%,23,high,2,True,medium
listing_08417,11,TOYOTA,PASSO,2007,1360.0,AUTOMATIC,PETROL,198000.0,GAMPAHA,2025-02-05,USED,13.75,48.0,45.825,49.0,-71.35416666666666,below_expected_range,below_expected_range; deviation_from_group_median=-71.4%,23,high,2,True,medium
listing_08422,12,TOYOTA,PASSO,2008,1360.0,AUTOMATIC,PETROL,187000.0,GAMPAHA,2025-02-04,USED,13.75,43.325,41.80714285714286,47.5,-68.26312752452395,below_expected_range,below_expected_range; deviation_from_group_median=-68.3%,10,high,1,False,medium
listing_08965,13,TOYOTA,STARLET,1996,1500.0,MANUAL,DIESEL,319000.0,GAMPAHA,2024-12-25,USED,10.5,30.375,28.525,31.75,-65.4320987654321,below_expected_range,below_expected_range; deviation_from_group_median=-65.4%,10,high,1,False,medium
