brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,vehicle_age,vehicle_age_for_calculation,annual_mileage,group_count,mileage_median,mileage_q1,mileage_q3,mileage_iqr,mileage_lower_bound,mileage_upper_bound,eligible_for_mileage_detection,mileage_anomaly,mileage_deviation_percentage,mileage_anomaly_reason,annual_mileage_anomaly,annual_mileage_reason,price_signal,mileage_signal,age_mileage_signal,signal_count,review_priority,review_priority_reason,listing_id,price_group_count,price_median,price_q1,price_q3,price_iqr,expected_price_low,expected_price_high,price_deviation_percentage,price_deviation_abs,price_anomaly_direction,price_alert_reason,price_reference_quality,duplicate_record_count,duplicate_record_flag
AUDI,A1,2016,990.0,AUTOMATIC,PETROL,99000.0,GAMPAHA,2025-02-05,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,100.0,9,9,11000.0,1,99000.0,99000.0,99000.0,0.0,99000.0,99000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00001,1,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,1,False
AUDI,A1,2017,1000.0,AUTOMATIC,PETROL,88000.0,COLOMBO,2025-01-14,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,97.0,8,8,11000.0,4,88000.0,88000.0,88000.0,0.0,88000.0,88000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00002,4,101.75,98.875,104.75,5.875,98.875,104.75,-4.668304668304668,4.668304668304668,below_expected_range,below_expected_range; deviation_from_group_median=-4.7%,low,1,False
AUDI,A1,2018,1000.0,AUTOMATIC,PETROL,77000.0,DEHIWALA-MOUNT-LAVINIA,2025-01-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,98.5,7,7,11000.0,2,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00003,2,94.9375,93.15625,96.71875,3.5625,93.15625,96.71875,3.7524687294272545,3.7524687294272545,above_expected_range,above_expected_range; deviation_from_group_median=3.8%,low,1,False
AUDI,A1,2017,1000.0,AUTOMATIC,PETROL,88000.0,NEGOMBO,2024-12-21,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,107.0,8,8,11000.0,4,88000.0,88000.0,88000.0,0.0,88000.0,88000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00004,4,101.75,98.875,104.75,5.875,98.875,104.75,5.159705159705159,5.159705159705159,above_expected_range,above_expected_range; deviation_from_group_median=5.2%,low,1,False
AUDI,A1,2017,1000.0,AUTOMATIC,PETROL,88000.0,COLOMBO,2024-12-21,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,99.5,8,8,11000.0,4,88000.0,88000.0,88000.0,0.0,88000.0,88000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00005,4,101.75,98.875,104.75,5.875,98.875,104.75,-2.211302211302211,2.211302211302211,within_expected_range,within_expected_range; deviation_from_group_median=-2.2%,low,1,False
AUDI,A1,2018,1500.0,AUTOMATIC,PETROL,77000.0,COLOMBO,2024-12-16,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,91.375,7,7,11000.0,2,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00006,2,94.9375,93.15625,96.71875,3.5625,93.15625,96.71875,-3.7524687294272545,3.7524687294272545,below_expected_range,below_expected_range; deviation_from_group_median=-3.8%,low,1,False
AUDI,A1,2017,1000.0,AUTOMATIC,PETROL,88000.0,MATARA,2024-12-11,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,104.0,8,8,11000.0,4,88000.0,88000.0,88000.0,0.0,88000.0,88000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00007,4,101.75,98.875,104.75,5.875,98.875,104.75,2.211302211302211,2.211302211302211,within_expected_range,within_expected_range; deviation_from_group_median=2.2%,low,1,False
AUDI,A1 RS,2016,1000.0,AUTOMATIC,PETROL,99000.0,COLOMBO,2025-01-19,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,105.0,9,9,11000.0,1,99000.0,99000.0,99000.0,0.0,99000.0,99000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00008,1,105.0,105.0,105.0,0.0,105.0,105.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,1,False
AUDI,A3,2018,1000.0,AUTOMATIC,PETROL,77000.0,NUGEGODA,2025-02-05,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,7,7,11000.0,4,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00009,4,139.0,139.0,139.0,0.0,139.0,139.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,4,True
AUDI,A3,2018,1750.0,AUTOMATIC,PETROL,77000.0,GAMPAHA,2025-01-31,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,7,7,11000.0,4,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00010,4,139.0,139.0,139.0,0.0,139.0,139.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,4,True
AUDI,A3,2018,1000.0,AUTOMATIC,PETROL,77000.0,ANURADAPURA,2025-01-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,7,7,11000.0,4,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00011,4,139.0,139.0,139.0,0.0,139.0,139.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,4,True
AUDI,A3,2018,1000.0,AUTOMATIC,PETROL,77000.0,KANDY,2025-01-20,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,7,7,11000.0,4,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00012,4,139.0,139.0,139.0,0.0,139.0,139.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,4,True
AUDI,A3 S LINE,2018,1000.0,AUTOMATIC,PETROL,77000.0,COLOMBO,2025-01-19,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,178.0,7,7,11000.0,2,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00013,2,178.0,178.0,178.0,0.0,178.0,178.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,2,True
AUDI,A3 S LINE,2018,1000.0,AUTOMATIC,PETROL,77000.0,COLOMBO,2024-12-13,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,178.0,7,7,11000.0,2,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00014,2,178.0,178.0,178.0,0.0,178.0,178.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,2,True
