brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage,flag_baseline,absolute_deviation,flag_iqr_and_15pct,flag_iqr_and_20pct,flag_iqr_and_30pct,review_label,review_reason,review_confidence,review_notes
SUZUKI,ALTO SPORT,2011,800.0,MANUAL,PETROL,154000.0,GAMPAHA,2024-12-19,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,27.5,6,26.65,26.125,26.8375,0.7125000000000021,25.05625,27.906250000000007,True,False,within_comparable_range,3.1894934333958775,False,3.1894934333958775,False,False,False,,,,
NISSAN,FB15,2003,1500.0,AUTOMATIC,PETROL,242000.0,KELANIYA,2024-12-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,46.0,25,43.34444444444444,42.5,44.75,2.25,39.125,48.125,True,False,within_comparable_range,6.126634196359915,False,6.126634196359915,False,False,False,,,,
TOYOTA,CARINA,1985,2000.0,MANUAL,DIESEL,440000.0,TANGALLE,2025-01-25,NO LEASING,USED,NOT_AVAILABLE,NOT_AVAILABLE,AVAILABLE,NOT_AVAILABLE,10.25,5,10.25,9.5,11.3125,1.8125,6.78125,14.03125,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
SUZUKI,A-STAR,2012,1000.0,MANUAL,PETROL,143000.0,KADAWATHA,2025-01-19,NO LEASING,USED,NOT_AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,37.5,14,40.75909090909091,38.8125,42.95,4.137500000000003,32.606249999999996,49.15625000000001,True,False,within_comparable_range,-7.995985279357642,False,7.995985279357642,False,False,False,,,,
TOYOTA,AXIO,2007,1500.0,AUTOMATIC,PETROL,198000.0,BATTARAMULLA,2024-12-04,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,75.0,32,73.12384615384615,71.5,74.5,3.0,67.0,79.0,True,False,within_comparable_range,2.5657209581216396,False,2.5657209581216396,False,False,False,,,,
SUZUKI,ALTO 800,2015,800.0,MANUAL,PETROL,110000.0,GAMPAHA,2025-01-07,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,33.23653846153846,33,33.23653846153846,32.5,33.5,1.0,31.0,35.0,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
NISSAN,PULSAR,1997,1500.0,MANUAL,PETROL,308000.0,KANDY,2024-12-24,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,23.93333333333333,9,23.93333333333333,23.93333333333333,27.0,3.06666666666667,19.333333333333325,31.600000000000005,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
SUZUKI,MARUTI,2006,800.0,MANUAL,PETROL,209000.0,ANURADAPURA,2025-01-13,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,16.5,47,16.87,16.75,16.87,0.120000000000001,16.57,17.050000000000004,True,True,price_below_comparable_range,-2.1932424422051033,True,2.1932424422051033,False,False,False,,,,
SUZUKI,ALTO,2015,800.0,MANUAL,PETROL,110000.0,JA-ELA,2025-01-13,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,33.02984496124031,161,33.02984496124031,32.5,33.5,1.0,31.0,35.0,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
TOYOTA,VITZ,2007,1000.0,AUTOMATIC,PETROL,198000.0,MINUWANGODA,2025-01-01,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,53.810526315789474,75,53.810526315789474,52.825,54.5,1.6749999999999972,50.31250000000001,57.0125,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
TOYOTA,AXIO WXB,2016,1500.0,AUTOMATIC,HYBRID,99000.0,KANDY,2025-01-08,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,126.0,6,127.75,126.75,130.25,3.5,121.5,135.5,True,False,within_comparable_range,-1.36986301369863,False,1.36986301369863,False,False,False,,,,
SUZUKI,WAGON R FZ,2018,660.0,AUTOMATIC,HYBRID,77000.0,COLOMBO,2025-01-11,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,66.25,32,66.2388888888889,65.0,67.5625,2.5625,61.15625,71.40625,True,False,within_comparable_range,0.0167743017696807,False,0.0167743017696807,False,False,False,,,,
TOYOTA,ALLION,2010,1500.0,AUTOMATIC,PETROL,165000.0,MATALE,2024-12-16,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,103.0,10,104.375,103.125,105.0,1.875,100.3125,107.8125,True,False,within_comparable_range,-1.3173652694610778,False,1.3173652694610778,False,False,False,,,,
SUZUKI,A-STAR,2011,1000.0,MANUAL,PETROL,154000.0,BADULLA,2025-02-05,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,35.9,26,37.75,36.0,42.1375,6.137500000000003,26.793749999999996,51.34375000000001,True,False,within_comparable_range,-4.900662251655633,False,4.900662251655633,False,False,False,,,,
SUZUKI,ALTO,2015,800.0,MANUAL,PETROL,110000.0,BANDARAGAMA,2025-02-01,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,32.4,161,33.02984496124031,32.5,33.5,1.0,31.0,35.0,True,False,within_comparable_range,-1.9068965112594871,False,1.9068965112594871,False,False,False,,,,
