brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage,review_label,review_reason,review_confidence,review_notes
NISSAN,N16,2000,1300,MANUAL,PETROL,275000,BANDARAGAMA,2025-01-29,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,28.75,13,35.06363636,34.75,36.5,1.75,32.125,39.125,TRUE,TRUE,price_below_comparable_range,-18.00622245,probably_anomaly,price and mileage inconsistent with comparable listings,medium,Price 28.75 vs group median 35.06363636 (-18.0%); 275000 km mileage was considered against same-vehicle comparables (group n=13) and the deviation is not well supported.
TOYOTA,AQUA S LIMITED,2012,1500,AUTOMATIC,HYBRID,143000,GALLE,2025-01-28,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,67.5,7,72.0625,71.53125,72.65625,1.125,69.84375,74.34375,TRUE,TRUE,price_below_comparable_range,-6.331309627,insufficient_evidence,limited or heterogeneous comparable group prevents a confident judgment,low,"Price 67.5 vs group median 72.0625 (-6.3%); group n=7 and/or broad/degenerate bounds limit confidence, so this is not escalated without more listing context."
SUZUKI,WAGON R FZ,2015,660,AUTOMATIC,PETROL,110000,GALLE,2025-02-04,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,54.25,5,55.41666667,55.41666667,55.5,0.08333333333,55.29166667,55.625,TRUE,TRUE,price_below_comparable_range,-2.105263158,appears_normal,price is within practical market variation for comparable listings,high,"Price 54.25 vs group median 55.41666667 (-2.1%); mileage 110000 km, year 2015, and used condition are consistent with the comparison group (n=5)."
NISSAN,MARCH K11,2000,1000,AUTOMATIC,PETROL,275000,NEGOMBO,2024-12-27,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,30.5,18,28,27.6375,28.375,0.7375,26.53125,29.48125,TRUE,TRUE,price_above_comparable_range,8.928571429,appears_normal,price is within practical market variation for comparable listings,high,"Price 30.5 vs group median 28 (+8.9%); mileage 275000 km, year 2000, and used condition are consistent with the comparison group (n=18)."
SUZUKI,MARUTI,2006,800,MANUAL,PETROL,209000,MIRIGAMA,2024-12-06,NO LEASING,USED,NOT_AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,19.25,47,16.87,16.75,16.87,0.12,16.57,17.05,TRUE,TRUE,price_above_comparable_range,14.10788382,probably_anomaly,price and mileage inconsistent with comparable listings,medium,Price 19.25 vs group median 16.87 (+14.1%); 209000 km mileage was considered against same-vehicle comparables (group n=47) and the deviation is not well supported.
SUZUKI,ALTO,2015,800,MANUAL,PETROL,110000,MULLERIYAWA,2024-12-25,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,30.5,161,33.02984496,32.5,33.5,1,31,35,TRUE,TRUE,price_below_comparable_range,-7.659269864,probably_anomaly,price is outside comparable range with supporting vehicle context,medium,Price 30.5 vs group median 33.02984496 (-7.7%); 110000 km mileage was considered against same-vehicle comparables (group n=161) and the deviation is not well supported.
SUZUKI,ALTO JAPAN,2015,650,AUTOMATIC,PETROL,110000,MALABE,2025-02-04,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,50.5,6,51.5,51.5,51.5,0,51.5,51.5,TRUE,TRUE,price_below_comparable_range,-1.941747573,appears_normal,price is within practical market variation for comparable listings,high,"Price 50.5 vs group median 51.5 (-1.9%); mileage 110000 km, year 2015, and used condition are consistent with the comparison group (n=6)."
SUZUKI,MARUTI,2011,800,MANUAL,PETROL,154000,KANDY,2025-02-03,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,17.9,37,20.03478261,19.5,20.4,0.9,18.15,21.75,TRUE,TRUE,price_below_comparable_range,-10.65538194,probably_anomaly,price and mileage inconsistent with comparable listings,medium,Price 17.9 vs group median 20.03478261 (-10.7%); 154000 km mileage was considered against same-vehicle comparables (group n=37) and the deviation is not well supported.
SUZUKI,MARUTI,2012,800,MANUAL,PETROL,143000,HORANA,2025-01-14,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,20.65,9,20.97,20.95,20.97,0.02,20.92,21,TRUE,TRUE,price_below_comparable_range,-1.525989509,probably_anomaly,price is outside comparable range with supporting vehicle context,medium,Price 20.65 vs group median 20.97 (-1.5%); 143000 km mileage was considered against same-vehicle comparables (group n=9) and the deviation is not well supported.
SUZUKI,SWIFT RS,2017,1300,AUTOMATIC,HYBRID,88000,KOTTAWA,2024-12-25,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,96.5,8,87.375,84.5,88.875,4.375,77.9375,95.4375,TRUE,TRUE,price_above_comparable_range,10.4434907,insufficient_evidence,limited or heterogeneous comparable group prevents a confident judgment,low,"Price 96.5 vs group median 87.375 (+10.4%); group n=8 and/or broad/degenerate bounds limit confidence, so this is not escalated without more listing context."
