brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage,original_row_index,absolute_deviation,flag_baseline,flag_iqr_and_15pct,flag_iqr_and_20pct,flag_iqr_and_30pct,review_label,review_reason,review_confidence,review_notes
TOYOTA,VITZ,2005,1500.0,AUTOMATIC,PETROL,220000.0,EHELIYAGODA,2025-02-01,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,38.5,6,47.625,47.5,48.5,1.0,46.0,50.0,True,True,price_below_comparable_range,-19.160104986876643,9198,19.160104986876643,True,True,False,False,,,,
SUZUKI,MARUTI,2010,800.0,MANUAL,PETROL,165000.0,TANGALLE,2024-12-30,NO LEASING,USED,NOT_AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,16.25,23,19.134375,18.95,19.5,0.5500000000000007,18.125,20.325000000000003,True,True,price_below_comparable_range,-15.074309978768571,5188,15.074309978768571,True,True,False,False,,,,
NISSAN,FB14,1996,1500.0,AUTOMATIC,PETROL,319000.0,MIRIGAMA,2025-02-05,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,33.84375,21,26.0,24.0,26.75,2.75,19.875,30.875,True,True,price_above_comparable_range,30.16826923076923,2705,30.16826923076923,True,True,True,True,,,,
NISSAN,B11,1983,1300.0,MANUAL,PETROL,462000.0,MAHIYANGANAYA,2025-01-15,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,5.5,10,7.21,6.8125,7.4225,0.6100000000000003,5.897499999999999,8.3375,True,True,price_below_comparable_range,-23.71705963938974,2432,23.71705963938974,True,True,True,False,,,,
NISSAN,FB15,2001,1500.0,AUTOMATIC,PETROL,264000.0,ANURADAPURA,2025-02-04,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,54.25,21,39.5,37.25,42.5,5.25,29.375,50.375,True,True,price_above_comparable_range,37.34177215189873,2800,37.34177215189873,True,True,True,True,,,,
SUZUKI,SWIFT,2003,1300.0,MANUAL,PETROL,242000.0,KANDY,2025-02-05,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,19.90625,38,39.625,37.67058823529411,41.0,3.3294117647058883,32.676470588235276,45.99411764705883,True,True,price_below_comparable_range,-49.76340694006309,5460,49.76340694006309,True,True,True,True,,,,
TOYOTA,PASSO,2007,1360.0,AUTOMATIC,PETROL,198000.0,GAMPAHA,2025-02-03,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,66.09473684210526,23,48.0,45.825,49.0,3.174999999999997,41.06250000000001,53.762499999999996,True,True,price_above_comparable_range,37.69736842105263,8424,37.69736842105263,True,True,True,True,,,,
NISSAN,N16,2000,1300.0,MANUAL,PETROL,275000.0,BANDARAGAMA,2025-01-29,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,28.75,13,35.063636363636355,34.75,36.5,1.75,32.125,39.125,True,True,price_below_comparable_range,-18.006222452683414,3219,18.006222452683414,True,True,False,False,,,,
TATA,NANO,2016,650.0,AUTOMATIC,PETROL,99000.0,NITTAMBUWA,2024-12-07,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,21.0,9,18.258333333333333,17.8,18.5,0.6999999999999993,16.75,19.549999999999997,True,True,price_above_comparable_range,15.015974440894572,6604,15.015974440894572,True,True,False,False,,,,
TOYOTA,COROLLA 121,2003,1500.0,AUTOMATIC,PETROL,242000.0,KURUNEGALA,2024-12-24,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,69.0,8,53.041666666666664,50.75,53.9375,3.1875,45.96875,58.71875,True,True,price_above_comparable_range,30.08641005498822,7900,30.08641005498822,True,True,True,True,,,,
NISSAN,FB14,1996,1970.0,AUTOMATIC,DIESEL,319000.0,MALABE,2025-02-01,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,33.84375,21,26.0,24.0,26.75,2.75,19.875,30.875,True,True,price_above_comparable_range,30.16826923076923,2723,30.16826923076923,True,True,True,True,,,,
NISSAN,FB15,2001,1490.0,AUTOMATIC,PETROL,264000.0,KANDY,2024-12-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,54.25,21,39.5,37.25,42.5,5.25,29.375,50.375,True,True,price_above_comparable_range,37.34177215189873,2880,37.34177215189873,True,True,True,True,,,,
MITSUBISHI,LANCER BOX,1982,1400.0,MANUAL,PETROL,473000.0,RATNAPURA,2025-02-03,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,17.14910714285714,8,9.925,9.4125,10.610714285714288,1.198214285714288,7.615178571428568,12.40803571428572,True,True,price_above_comparable_range,72.78697373155808,2181,72.78697373155808,True,True,True,True,,,,
NISSAN,N16,2001,1500.0,AUTOMATIC,PETROL,264000.0,ANURADAPURA,2024-12-07,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,45.0,7,38.53,38.0,38.715,0.7150000000000034,36.927499999999995,39.78750000000001,True,True,price_above_comparable_range,16.79211004412146,3246,16.79211004412146,True,True,False,False,,,,
NISSAN,HB11,1984,1500.0,MANUAL,PETROL,451000.0,KURUNEGALA,2025-01-03,NO LEASING,USED,NOT_AVAILABLE,NOT_AVAILABLE,AVAILABLE,NOT_AVAILABLE,6.1,6,7.77,7.51,8.15,0.6400000000000006,6.549999999999999,9.110000000000001,True,True,price_below_comparable_range,-21.492921492921493,2977,21.492921492921493,True,True,True,False,,,,
HYUNDAI,ACCENT,2000,1490.0,MANUAL,PETROL,275000.0,PADUKKA,2025-01-18,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,17.549999999999997,13,23.0,21.9,23.95,2.0500000000000007,18.824999999999996,27.025,True,True,price_below_comparable_range,-23.695652173913057,1137,23.695652173913057,True,True,True,False,,,,
MITSUBISHI,LANCER BOX,1982,1410.0,MANUAL,PETROL,473000.0,DANKOTUWA,2025-01-17,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,NOT_AVAILABLE,7.5,8,9.925,9.4125,10.610714285714288,1.198214285714288,7.615178571428568,12.40803571428572,True,True,price_below_comparable_range,-24.433249370277082,2192,24.433249370277082,True,True,True,False,,,,
