brand,model,year_of_manufacture,listing_count
SUZUKI,ALTO,2015,161
SUZUKI,WAGON R STINGRAY,2018,130
TOYOTA,VITZ,2007,75
PERODUA,VIVA ELITE,2011,72
TOYOTA,VITZ,2008,56
TOYOTA,VITZ,2016,56
TOYOTA,AQUA,2013,53
SUZUKI,WAGON R STINGRAY,2017,49
SUZUKI,MARUTI,2006,47
HONDA,FIT GP5,2014,47
SUZUKI,WAGON R,2018,47
SUZUKI,WAGON R,2017,46
SUZUKI,WAGON R STINGRAY,2015,46
TOYOTA,AQUA,2012,45
SUZUKI,ALTO,2011,42
SUZUKI,WAGON R STINGRAY,2014,40
PERODUA,VIVA ELITE,2012,39
SUZUKI,SWIFT,2003,38
SUZUKI,MARUTI,2011,37
HONDA,FIT GP1,2012,37
TOYOTA,VITZ,2018,36
RENAULT,KWID,2016,35
SUZUKI,SWIFT,2004,35
TOYOTA,AXIO,2015,35
TOYOTA,AQUA,2014,34
MICRO,PANDA,2015,33
SUZUKI,ALTO 800,2015,33
SUZUKI,WAGON R FZ,2018,32
TOYOTA,AXIO,2007,32
SUZUKI,WAGON R FZ,2014,31
SUZUKI,WAGON R,2014,29
PERODUA,VIVA ELITE,2010,28
TOYOTA,VITZ,2015,28
SUZUKI,ALTO JAPAN,2017,27
SUZUKI,WAGON R FX,2017,27
SUZUKI,CELERIO,2015,26
SUZUKI,ALTO,2016,26
SUZUKI,A-STAR,2011,26
NISSAN,FB15,2000,26
SUZUKI,WAGON R,2016,26
TOYOTA,COROLLA 141,2008,26
SUZUKI,WAGON R FZ,2017,25
TOYOTA,VITZ,2010,25
TOYOTA,VITZ,2017,25
TOYOTA,AQUA,2015,25
SUZUKI,ESTILO,2010,25
SUZUKI,MARUTI,2007,25
NISSAN,FB15,2003,25
SUZUKI,ALTO,2012,24
SUZUKI,ALTO LXI,2015,24
SUZUKI,ALTO,2014,24
TOYOTA,PREMIO G SUPERIOR,2013,24
TOYOTA,PASSO,2007,23
SUZUKI,MARUTI,2005,23
SUZUKI,MARUTI,2010,23
TOYOTA,BELTA,2007,22
SUZUKI,ALTO JAPAN,2003,22
TOYOTA,PREMIO,2017,21
TOYOTA,VITZ KSP90,2008,21
TOYOTA,VITZ KSP90,2007,21
NISSAN,FB15,2001,21
NISSAN,FB14,1997,21
NISSAN,FB14,1996,21
TOYOTA,AXIO WXB,2017,21
SUZUKI,ALTO,2006,21
